SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
249,Hendley ES,-76.999184846,38.82898558,Elementary,es,1,8,FALSE,2015,0.8310940499,70,0,75,533,4230621.70234625,718000,0,91482.0465,225833.488508609,0,0,0,53300,39009,0,0,0,0,0,92309,5358246.23735486
251,Houston ES,-76.929947647,38.905414986,Elementary,es,2,7,FALSE,2015,0.6788321168,53,2,44,282,2378278.63979062,644853.5825,8516.35125,50149.29075,118768.475722378,0,0,0,28200,343557,0,0,0,0,0,371757,3572323.340013
252,Hyde-Addison ES,-77.064537819,38.908019234,Elementary,es,5,2,FALSE,2015,0.0658682635,20,24,29,341,2796351.7256125,551125.1075,141939.1875,0,8350,0,0,0,34100,0,0,0,0,0,0,34100,3531866.0206125
950,Incarcerated Youth Program,-76.976378916,38.883430572,Alternative,other,8,7,FALSE,2015,NA,0,0,15,24,487867.11561875,473130.625,0,0,15675,0,0,0,18092,0,0,0,8092,0,0,26184,1002856.74061875
339,J.O. Wilson ES,-76.996589022,38.902757665,Elementary,es,3,6,FALSE,2015,0.4849884527,116,6,63,462,3921591.83158187,801740.1975,25549.05375,105259.63175,187688.868568575,0,0,0,140826,0,0,0,0,0,0,140826,5182655.58315045
254,Janney ES,-77.080994825,38.947550086,Elementary,es,5,3,FALSE,2015,0.0111642743,80,30,41,672,4954052.857585,567756.75,141939.1875,0,15675,0,864355.061765,0,67200,0,0,0,0,0,0,67200,6610978.85685
415,Jefferson MS,-77.02291066,38.879870599,Middle,ms,7,6,FALSE,2015,0.625,0,2,78,307,2341168.96555312,951803.9925,8516.35125,36371.7055,129605.015478069,0,0,0,882436,164496,0,0,0,0,0,1046932,4514398.03028119
416,Johnson MS,-76.983703681,38.851336572,Middle,ms,7,8,TRUE,2015,0.7601476015,0,3,70,283,2174821.36233125,952007.0325,13247.6575,0,117468.090951695,0,0,0,656168,47313,0,0,0,0,0,703481,3961025.14328294
421,Kelly Miller MS,-76.932455065,38.893315031,Middle,ms,7,7,TRUE,2015,0.7212475634,0,5,110,570,3495064.82891063,1422376.15,21764.00875,0,222365.795786787,90215,0,0,1062090,30861,0,0,0,0,0,1092951,6344736.78344741
257,Ketcham ES,-76.983621162,38.86604236,Elementary,es,3,8,TRUE,2015,0.7777777778,70,0,32,318,2819767.5125125,378504.625,0,50149.29075,132639.246609663,0,0,0,131800,94626,0,0,0,0,0,226426,3607486.67487216
272,Key ES,-77.100527318,38.926801504,Elementary,es,2,3,FALSE,2015,0.0288713911,40,37,26,391,3258813.69284375,378504.5,141939.1875,0,9525,0,0,0,39100,0,0,0,0,0,0,39100,3827882.38034375
259,Kimball ES,-76.957572707,38.883082756,Elementary,es,3,7,TRUE,2015,0.7121212121,70,0,35,345,3037999.93583125,425817.5625,0,77704.46125,143042.324775126,0,0,0,134500,0,0,0,0,0,0,134500,3819064.28435638
